NO	TICKER	WEBSITE	TWITTER	SPO Group in adapools.org?	POOL ID
1	00000	https://adaberrypi.com/	@adaberrypi	yes	33708d590f4549170125524fcbd6bc189fa8711fba52f8ead4276ca4
2	1VICA	https://vica-stake-pool.com/	@firstvica	yes	39543229fb6734b60f7ce76886eedee4dd17bbcb49e180ffe1200ee5
3	8SQRD 	https://8sqrdpools.com/	@8sqrd	yes	6333007fadda8a9e086c2c426a02197f02e3abb4f17e22bf51341231
4	A4G 	https://www.ada4good.com/	@ada4goodp	yes	cb87bf12be816ecd5cd6e167442670e4024d85e0005c8623651b371f
5	ABC	https://abcstake.com/	@stakewithabc	yes	478bc2098b2ef7117a4dc1a618ea75ca37516be7c6a65fab763f72a2
6	ACOL 	https://ada.countessoflovelace.io/	@vmlinuz1974	yes	1d1a0727f1cae44f801091fe2b80d5589f3ffed24c602a8df7cdb2a3
7	ADACO	https://adaco.in/	@justkawal	yes	dcb37c1940e79633705c4348ee31a4040e231ec1baa24d63d7b9b451
8	ADAGO 	https://www.adaspace.xyz/	@adagopool	yes	c73186434c6fc6676bd67304d34518fc6fd7d5eaddaf78641b1e7dcf
9	ADAR	https://adarewards.org/	@ada_rewards	yes	f0e3c8d48efb750cdf256b68babc880787bc688972acfbbee1ffc537
10	ADAXP	https://adaexperience.eu/	@experienceADA	yes	f2d23cc3549ab3fe4c78dd9115aab0a9e47dde96b7c4346822c72aa3
11	ADI 	https://cardanesia.com/	@cardanesia	yes	0a423fa44f23b13cba59474427d11746136672af66b2d80b4499dd1d
12	ANQA 	https://www.ankachain.com/	@ankachain	yes	6749c8ed350238d3673f2389491a46e8a9a260837c5630d775078aaa
13	APEX 	https://apexpool.info/	@cardanoapexpool	yes	538299a358e79a289c8de779f8cd09dd6a6bb286de717d1f744bb357
14	ARARE	https://arare.io/	@adararepool	yes	f65731aa68706607718d140426c75cd7ac2c40703c31c325fdd46f91
15	ARM1 	https://www.armadastakepool.com/	@armadapool	yes	a2ccd8e93f5a518d4400790cb081673e79ed41e4bf1132f740f26a28
16	ATDT	http://pool.atdt.io/	@atdtpool	yes	ae7015d54c634f922f800d9800529c3c5a007148ab9d792ac4ff33ae
17	ATMR 	https://www.atmr-pool.com/	@atmr_stakepool	yes	a987503fcad2a35e55bf2dabaeed9542abdbee4a9735552441894396
